size,rounds,error
20,26,3.150819586810627E-4
30,30,2.4008024057948775E-4
40,31,2.6947931186533937E-4
50,30,2.524479351951925E-4
60,26,2.7434069513082213E-4
70,29,2.1529856367215368E-4
80,29,2.6216448140559123E-4
90,31,2.7341428295765506E-4
100,29,2.6316448483193255E-4
110,30,2.471503726446465E-4
120,32,2.1078307789726598E-4
130,30,2.7543125273575916E-4
140,32,2.4627525797587933E-4
150,33,2.4618424821364705E-4
160,34,2.3132471336162475E-4
170,34,2.472862337203243E-4
180,35,2.3181723770433237E-4
190,36,2.362412621356438E-4
200,33,2.4269663341726754E-4
210,33,2.534494283935373E-4
220,38,1.9927093468242223E-4
230,39,2.307808381326459E-4
240,34,2.3201052018763472E-4
250,35,2.149090204432298E-4
260,35,2.3736431392252873E-4
270,34,2.3424458790144185E-4
280,39,2.0359895882740326E-4
290,34,2.295651620018485E-4
300,42,2.173843188529408E-4
310,41,2.1699224918644825E-4
320,38,2.2229876325090546E-4
330,38,2.0558524894383797E-4
340,40,2.181611404914881E-4
350,42,1.977479611506031E-4
360,38,2.162744926338907E-4
370,40,2.0865631909147952E-4
380,41,2.0130472285622146E-4
390,38,2.247876921872788E-4
400,34,2.5361971368182524E-4
410,41,2.108143597699795E-4
420,33,2.4194369711744845E-4
430,35,2.1609843880172826E-4
440,37,2.1822102792187922E-4
450,39,2.27576545350669E-4
460,45,2.233558161174002E-4
470,39,2.0364884015009466E-4
480,41,2.2128730505710514E-4
490,42,2.1195337984534847E-4
500,41,2.191393859863382E-4
510,35,2.2028653697125442E-4
520,40,2.2792198323339145E-4
530,44,2.022919467248425E-4
540,34,2.4295668350894238E-4
550,42,2.3975095412702465E-4
560,38,2.1014860765667466E-4
570,39,2.3582998914719404E-4
580,38,2.176968459660698E-4
590,42,2.2624815215786643E-4
600,41,2.3031866715526186E-4
610,39,2.1453250198092867E-4
620,35,2.366677327182009E-4
630,32,2.4785024619211935E-4
640,51,2.12770374807536E-4
650,39,2.3313917068398164E-4
660,43,1.9764577519541105E-4
670,40,2.1246759922578833E-4
680,37,2.2649769395803745E-4
690,39,2.4248780793538987E-4
700,43,2.0710802573080603E-4
710,38,2.208894375035772E-4
720,45,2.2148366465281436E-4
730,37,2.2403579040622363E-4
740,42,2.0822682065312737E-4
750,42,2.139030215546427E-4
760,39,2.2296146853923652E-4
770,36,2.4734723113736964E-4
780,44,2.1268837208888468E-4
790,43,2.2318846604769062E-4
800,39,2.243618603597053E-4
810,45,2.1592384573906648E-4
820,39,2.213572698260938E-4
830,48,2.0499864524004547E-4
840,46,1.980893950072557E-4
850,46,2.0602437902293586E-4
860,37,2.267723818632115E-4
870,43,2.1402563649903172E-4
880,40,2.1997362308231157E-4
890,46,2.1117515957316558E-4
900,47,2.0717418292137937E-4
910,39,2.0917643036453954E-4
920,40,2.186254430766718E-4
930,38,2.216860882228618E-4
940,40,2.1701466838631414E-4
950,51,2.0665164739681747E-4
960,44,2.444909012736973E-4
970,41,2.1614660504989735E-4
980,42,2.28442205028698E-4
990,47,2.043343160098581E-4
